iter	Passed	Remaining
0	1	172
1	3	155
2	4	145
3	5	143
4	7	141
5	8	139
6	10	137
7	11	134
8	13	132
9	14	130
10	15	129
11	17	127
12	18	126
13	20	126
14	22	124
15	23	122
16	24	120
17	26	119
18	27	117
19	28	115
20	30	114
21	31	112
22	33	110
23	34	110
24	36	108
25	38	110
26	40	108
27	41	107
28	43	105
29	44	104
30	46	102
31	47	100
32	48	99
33	50	97
34	51	96
35	53	94
36	54	92
37	55	91
38	57	89
39	58	87
40	60	86
41	61	85
42	63	83
43	64	81
44	65	80
45	67	79
46	68	77
47	70	76
48	72	75
49	73	73
50	75	72
51	76	70
52	78	69
53	79	67
54	80	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	93	52
64	95	51
65	96	49
66	98	48
67	99	46
68	101	45
69	103	44
70	106	43
71	107	41
72	109	40
73	110	38
74	112	37
75	113	35
76	115	34
77	116	32
78	117	31
79	119	29
80	120	28
81	121	26
82	123	25
83	124	23
84	126	22
85	127	20
86	128	19
87	130	17
88	132	16
89	133	14
90	134	13
91	136	11
92	137	10
93	139	8
94	140	7
95	141	5
96	143	4
97	144	2
98	146	1
99	147	0
